mixture_ID,source_1_SNR,source_2_SNR,source_3_SNR,noise_SNR
7447-91187-0056_5778-12761-0012_5750-100289-0028,-6.631061644182999,-2.696051412910703,-4.310748361517325,-5.8252002881631935
7113-86041-0017_4813-248641-0032_3235-11599-0014,-6.709744133091167,1.6502079167111308,-6.906831541768539,-11.681420779232973
4018-107338-0010_2843-152918-0057_7859-102519-0013,-2.21792101537528,-1.5672764678384845,-8.750105092895161,-9.656311985876396
6081-41998-0007_26-495-0044_7226-86964-0021,-5.283609774765628,-3.173872157895146,-7.635026694017308,-3.6456574584393016
6437-66172-0002_4788-294466-0002_5652-19215-0042,-5.35918522846524,-3.4443892920285544,-5.127828754216624,-5.263683810039725
1455-138263-0017_4088-158079-0009_5678-43301-0010,-2.677916149542,-2.4958515496368507,-5.051359729094997,-13.054107013109984
2159-179156-0007_7402-59171-0024_6529-62554-0038,-5.408295450306419,-0.9003519063600964,-6.845555860305624,-7.347382471050029
5049-25947-0008_3664-11714-0030_7402-90848-0001,-3.117018090682497,-2.8985578880611493,-4.721250101818183,-10.815278922771325
412-126975-0050_4397-15668-0005_6000-86686-0011,-4.228744251835931,-4.253571229477092,-2.710589778467411,-9.259292091765532
8226-274371-0018_8468-295198-0019_1098-133695-0000,-0.25921421599925376,-9.423289967373785,-4.36202965753956,-7.740841559238295
8770-295462-0040_1235-135884-0029_6818-76332-0015,-4.1383949859143225,-1.8845082376643578,-7.976057298289911,-6.2791901809085005
2952-410-0004_6476-57446-0012_8098-278252-0008,-5.063190597422764,-2.883949435081256,-3.5023482447617207,-8.488960735010302
4362-15663-0036_7059-77900-0031_1455-134435-0048,-4.733729554323709,-4.726162402619636,-3.088085329708533,-7.089814619233342
311-124404-0095_3374-298032-0018_6385-34655-0005,-1.5393037160985437,-3.184961910512705,-6.949157548937377,-9.665874267488174
8797-294123-0034_8747-293952-0099_4441-76263-0042,-4.333178209831104,-2.714538316225905,-3.304966909635443,-10.911380612081874
831-130746-0011_4481-17498-0035_5688-41232-0036,1.8230062662418158,-8.013937072776438,-6.1712984716755965,-11.606429773894288
8747-293952-0085_4195-186238-0005_7178-34644-0000,-4.777722304188902,-5.88270456145105,-0.6706628828102057,-10.688833753711817
2159-179156-0019_4137-11702-0023_26-496-0016,-0.3878503192745415,-5.488306163021992,-4.485357294278964,-14.126817893119759
405-130895-0018_3857-182315-0039_1737-146161-0012,-2.4674027721339633,-4.150120976171218,-5.236556888019546,-8.137652094377412
3857-182315-0030_5393-19218-0026_1034-121119-0065,-3.3144250795640047,-6.343995560176202,-7.795777592260027,-2.570978602337629
5867-48852-0005_5789-57195-0018_60-121082-0029,-4.695096178514557,-2.9038099319934627,-2.6434862215480415,-12.228503694389607
200-124139-0030_5688-41232-0060_1098-133695-0051,-2.944877797813759,-4.1637473293876335,-3.136504726034154,-11.699628242564364
6078-54013-0034_5104-33406-0012_2416-152137-0011,-2.5097599113095925,-4.461824168682919,-3.489482353045146,-11.397432594236907
3440-171006-0008_8088-284756-0061_403-216-0006,-0.850787110665422,-11.742337274628927,-2.164594024155898,-9.232885455042041
831-130746-0050_6563-63821-0008_118-124588-0005,-2.883191245097778,-3.022434754092953,-4.339081655126971,-12.564168622413348
8123-275216-0003_7264-92310-0005_5104-33406-0053,-6.946073832047276,-3.6701397583400395,-5.32510110757274,-3.6349474186538497
6454-120342-0018_7226-86965-0039_5393-19219-0012,-6.335237623460527,-8.383030363964695,-4.6097744882824765,-1.3134877321010732
6415-111615-0014_5808-48608-0055_8226-274369-0043,-5.105466148598871,-1.5119815211503431,-9.898761957024295,-4.583128746715942
6385-220959-0029_5703-47198-0014_8095-274346-0042,-3.0355667098984696,-4.996963768163759,-3.130990178750099,-9.510036124363898
1594-135914-0014_250-142286-0004_887-123291-0036,0.8000799734680192,-6.8897139603341495,-5.760840313835431,-11.170549691913884
1263-139804-0024_2002-139469-0012_4397-15666-0012,-4.189137368921309,-3.3846334206443194,-3.6336530781330967,-9.40318866550147
4898-28461-0048_7190-90542-0056_211-122442-0030,0.108398696860814,-6.3398845775551,-4.7932767443638555,-11.33020834633951
1737-148989-0002_426-122821-0024_2159-179157-0010,-11.84484717596977,0.8593610875369535,-3.557759090645278,-10.380799774914431
7302-86815-0061_332-128985-0068_2289-152254-0008,1.5320471307657444,-7.60051498669815,-7.351101417261536,-9.113426133437583
