mixture_ID,mixture_path,source_1_path,noise_path,length
7447-91187-0056_5778-12761-0012_5750-100289-0028,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/7447-91187-0056_5778-12761-0012_5750-100289-0028.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/7447-91187-0056_5778-12761-0012_5750-100289-0028.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/7447-91187-0056_5778-12761-0012_5750-100289-0028.wav,99240
7113-86041-0017_4813-248641-0032_3235-11599-0014,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/7113-86041-0017_4813-248641-0032_3235-11599-0014.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/7113-86041-0017_4813-248641-0032_3235-11599-0014.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/7113-86041-0017_4813-248641-0032_3235-11599-0014.wav,103000
4018-107338-0010_2843-152918-0057_7859-102519-0013,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/4018-107338-0010_2843-152918-0057_7859-102519-0013.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/4018-107338-0010_2843-152918-0057_7859-102519-0013.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/4018-107338-0010_2843-152918-0057_7859-102519-0013.wav,69480
6081-41998-0007_26-495-0044_7226-86964-0021,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/6081-41998-0007_26-495-0044_7226-86964-0021.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/6081-41998-0007_26-495-0044_7226-86964-0021.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/6081-41998-0007_26-495-0044_7226-86964-0021.wav,114680
6437-66172-0002_4788-294466-0002_5652-19215-0042,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/6437-66172-0002_4788-294466-0002_5652-19215-0042.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/6437-66172-0002_4788-294466-0002_5652-19215-0042.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/6437-66172-0002_4788-294466-0002_5652-19215-0042.wav,96680
1455-138263-0017_4088-158079-0009_5678-43301-0010,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/1455-138263-0017_4088-158079-0009_5678-43301-0010.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/1455-138263-0017_4088-158079-0009_5678-43301-0010.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/1455-138263-0017_4088-158079-0009_5678-43301-0010.wav,120560
2159-179156-0007_7402-59171-0024_6529-62554-0038,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/2159-179156-0007_7402-59171-0024_6529-62554-0038.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/2159-179156-0007_7402-59171-0024_6529-62554-0038.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/2159-179156-0007_7402-59171-0024_6529-62554-0038.wav,117601
5049-25947-0008_3664-11714-0030_7402-90848-0001,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/5049-25947-0008_3664-11714-0030_7402-90848-0001.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/5049-25947-0008_3664-11714-0030_7402-90848-0001.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/5049-25947-0008_3664-11714-0030_7402-90848-0001.wav,83160
412-126975-0050_4397-15668-0005_6000-86686-0011,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/412-126975-0050_4397-15668-0005_6000-86686-0011.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/412-126975-0050_4397-15668-0005_6000-86686-0011.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/412-126975-0050_4397-15668-0005_6000-86686-0011.wav,87080
8226-274371-0018_8468-295198-0019_1098-133695-0000,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/8226-274371-0018_8468-295198-0019_1098-133695-0000.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/8226-274371-0018_8468-295198-0019_1098-133695-0000.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/8226-274371-0018_8468-295198-0019_1098-133695-0000.wav,99360
8770-295462-0040_1235-135884-0029_6818-76332-0015,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/8770-295462-0040_1235-135884-0029_6818-76332-0015.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/8770-295462-0040_1235-135884-0029_6818-76332-0015.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/8770-295462-0040_1235-135884-0029_6818-76332-0015.wav,47960
2952-410-0004_6476-57446-0012_8098-278252-0008,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/2952-410-0004_6476-57446-0012_8098-278252-0008.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/2952-410-0004_6476-57446-0012_8098-278252-0008.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/2952-410-0004_6476-57446-0012_8098-278252-0008.wav,75600
4362-15663-0036_7059-77900-0031_1455-134435-0048,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/4362-15663-0036_7059-77900-0031_1455-134435-0048.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/4362-15663-0036_7059-77900-0031_1455-134435-0048.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/4362-15663-0036_7059-77900-0031_1455-134435-0048.wav,116960
311-124404-0095_3374-298032-0018_6385-34655-0005,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/311-124404-0095_3374-298032-0018_6385-34655-0005.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/311-124404-0095_3374-298032-0018_6385-34655-0005.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/311-124404-0095_3374-298032-0018_6385-34655-0005.wav,114360
8797-294123-0034_8747-293952-0099_4441-76263-0042,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/8797-294123-0034_8747-293952-0099_4441-76263-0042.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/8797-294123-0034_8747-293952-0099_4441-76263-0042.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/8797-294123-0034_8747-293952-0099_4441-76263-0042.wav,29840
831-130746-0011_4481-17498-0035_5688-41232-0036,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/mix_single/831-130746-0011_4481-17498-0035_5688-41232-0036.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/s1/831-130746-0011_4481-17498-0035_5688-41232-0036.wav,/mnt/sda-1/gzf/LibriMix-master/data/Libri3Mix/wav8k/min/train-100/noise/831-130746-0011_4481-17498-0035_5688-41232-0036.wav,111800
